neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(4,)",1,4,172,0.22778232395648956,400
"(4, 4)",2,4,192,0.16767635941505432,400
"(4, 4, 4)",3,4,212,0.12715712189674377,400
"(4, 4, 4, 4)",4,4,232,0.10630832612514496,399
"(4, 4, 4, 4, 4)",5,4,252,0.11206857115030289,400
"(8,)",1,8,312,0.17071521282196045,400
"(8, 8)",2,8,384,0.0997425988316536,400
"(8, 8, 8)",3,8,456,0.0906456783413887,399
"(8, 8, 8, 8)",4,8,528,0.08850174397230148,400
"(16,)",1,16,592,0.14186370372772217,400
"(8, 8, 8, 8, 8)",5,8,600,0.0896562933921814,393
"(16, 16)",2,16,864,0.08043938875198364,400
"(16, 16, 16)",3,16,1136,0.07373766601085663,400
"(32,)",1,32,1152,0.11529857665300369,400
"(16, 16, 16, 16)",4,16,1408,0.06984292715787888,389
"(16, 16, 16, 16, 16)",5,16,1680,0.07715075463056564,397
"(32, 32)",2,32,2208,0.07655218243598938,383
"(64,)",1,64,2272,0.10265350341796875,400
"(32, 32, 32)",3,32,3264,0.06850412487983704,397
"(32, 32, 32, 32)",4,32,4320,0.06197180226445198,398
"(128,)",1,128,4512,0.07757653295993805,398
"(32, 32, 32, 32, 32)",5,32,5376,0.06564342230558395,387
"(64, 64)",2,64,6432,0.06554241478443146,389
"(256,)",1,256,8992,0.07433214038610458,398
"(64, 64, 64)",3,64,10592,0.058141324669122696,393
"(64, 64, 64, 64)",4,64,14752,0.05252969264984131,400
"(512,)",1,512,17952,0.06687527894973755,394
"(64, 64, 64, 64, 64)",5,64,18912,0.042794033885002136,395
"(128, 128)",2,128,21024,0.06296345591545105,391
"(1024,)",1,1024,35872,0.06501512974500656,384
"(128, 128, 128)",3,128,37536,0.04843122512102127,393
"(128, 128, 128, 128)",4,128,54048,0.04315211623907089,383
"(128, 128, 128, 128, 128)",5,128,70560,0.03937816247344017,397
"(2048,)",1,2048,71712,0.06843975931406021,368
"(256, 256)",2,256,74784,0.05858024209737778,400
"(256, 256, 256)",3,256,140576,0.04460776969790459,390
"(4096,)",1,4096,143392,0.07124888896942139,388
"(5000,)",1,5000,175032,0.07546066492795944,381
"(256, 256, 256, 256)",4,256,206368,0.03959257900714874,396
"(6000,)",1,6000,210032,0.07679197192192078,396
"(256, 256, 256, 256, 256)",5,256,272160,0.0383257120847702,383
"(512, 512)",2,512,280608,0.050701674073934555,392
"(512, 512, 512)",3,512,543264,0.0413937009871006,383
"(512, 512, 512, 512)",4,512,805920,0.0375816784799099,399
"(512, 512, 512, 512, 512)",5,512,1068576,0.03635034337639809,379
"(1024, 1024)",2,1024,1085472,0.048250868916511536,383
"(1024, 1024, 1024)",3,1024,2135072,0.042558927088975906,378
"(1024, 1024, 1024, 1024)",4,1024,3184672,0.038349587470293045,372
"(1024, 1024, 1024, 1024, 1024)",5,1024,4234272,0.037879232317209244,400
"(2048, 2048)",2,2048,4268064,0.049679141491651535,398
"(2048, 2048, 2048)",3,2048,8464416,0.043097589164972305,396
"(2048, 2048, 2048, 2048)",4,2048,12660768,0.03945731744170189,382
"(2048, 2048, 2048, 2048, 2048)",5,2048,16857120,0.04000173881649971,394
"(4096, 4096)",2,4096,16924704,0.05141941457986832,396
"(5000, 5000)",2,5000,25180032,0.052502378821372986,395
"(4096, 4096, 4096)",3,4096,33706016,0.04405159130692482,397
"(6000, 6000)",2,6000,36216032,0.054495349526405334,399
"(5000, 5000, 5000)",3,5000,50185032,0.0451766736805439,368
"(4096, 4096, 4096, 4096)",4,4096,50487328,0.041370466351509094,382
"(4096, 4096, 4096, 4096, 4096)",5,4096,67268640,0.04269370809197426,396
"(6000, 6000, 6000)",3,6000,72222032,0.047805964946746826,384
"(5000, 5000, 5000, 5000)",4,5000,75190032,0.04157961905002594,375
"(5000, 5000, 5000, 5000, 5000)",5,5000,100195032,0.04636311158537865,397
"(6000, 6000, 6000, 6000)",4,6000,108228032,0.04518894478678703,400
"(6000, 6000, 6000, 6000, 6000)",5,6000,144234032,0.05640629306435585,397
