neurons_per_layer,total_params,best_val_loss,best_epoch
[4],48,0.29775291681289673,398
[8],92,0.26438093185424805,400
[16],180,0.2608342468738556,334
[32],356,0.248178169131279,400
[64],708,0.24187815189361572,354
[128],1412,0.21151228249073029,399
[256],2820,0.20486845076084137,400
[512],5636,0.20353247225284576,312
[1024],11268,0.20376355946063995,398
[1500],16504,0.20461075007915497,390
[1800],19804,0.20530317723751068,370
[2000],22004,0.20739582180976868,400
[2500],27504,0.20924951136112213,394
[3000],33004,0.2099210023880005,385
[3500],38504,0.2125517576932907,386
