train_frac,train_n,seed,neurons_per_layer,total_params,best_val_loss,best_epoch
0.4,120,0,[1024],11268,0.37272197008132935,400
0.4,120,1,[1024],11268,0.36025184392929077,400
0.4,120,2,[1024],11268,0.33824196457862854,400
0.4,120,3,[1024],11268,0.3338942229747772,400
0.4,120,4,[1024],11268,0.3387426733970642,400
0.5,150,0,[1024],11268,0.15502581000328064,400
0.5,150,1,[1024],11268,0.1623694896697998,400
0.5,150,2,[1024],11268,0.17234572768211365,400
0.5,150,3,[1024],11268,0.1536230742931366,400
0.5,150,4,[1024],11268,0.1466178596019745,400
0.6,180,0,[1024],11268,0.14578354358673096,400
0.6,180,1,[1024],11268,0.14586374163627625,400
0.6,180,2,[1024],11268,0.135183647274971,400
0.6,180,3,[1024],11268,0.13455671072006226,400
0.6,180,4,[1024],11268,0.14230741560459137,400
0.7,210,0,[1024],11268,0.1503516137599945,400
0.7,210,1,[1024],11268,0.14573274552822113,400
0.7,210,2,[1024],11268,0.1434529423713684,400
0.7,210,3,[1024],11268,0.1299522966146469,400
0.7,210,4,[1024],11268,0.12648899853229523,400
0.8,240,0,[1024],11268,0.13435912132263184,400
0.8,240,1,[1024],11268,0.13401681184768677,400
0.8,240,2,[1024],11268,0.12922558188438416,400
0.8,240,3,[1024],11268,0.1367591917514801,400
0.8,240,4,[1024],11268,0.14906659722328186,400
0.9,270,0,[1024],11268,0.1117282286286354,400
0.9,270,1,[1024],11268,0.11307397484779358,400
0.9,270,2,[1024],11268,0.10662268102169037,400
0.9,270,3,[1024],11268,0.10310091823339462,400
0.9,270,4,[1024],11268,0.09924019873142242,400
1.0,301,0,[1024],11268,0.09107998013496399,400
1.0,301,1,[1024],11268,0.09198179095983505,399
1.0,301,2,[1024],11268,0.0951550304889679,400
1.0,301,3,[1024],11268,0.09372105449438095,400
1.0,301,4,[1024],11268,0.0964309573173523,398
