neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(4,)",1,4,43,0.088736355304718,399
"(4, 4)",2,4,63,0.1022230014204979,373
"(8,)",1,8,83,0.0501052476465702,394
"(4, 4, 4)",3,4,83,0.191901609301567,399
"(4, 4, 4, 4)",4,4,103,0.2789367735385895,400
"(4, 4, 4, 4, 4)",5,4,123,0.1975525617599487,398
"(8, 8)",2,8,155,0.0575826726853847,390
"(16,)",1,16,163,0.0526161566376686,394
"(8, 8, 8)",3,8,227,0.0750487521290779,398
"(8, 8, 8, 8)",4,8,299,0.071510799229145,386
"(32,)",1,32,323,0.0357363782823085,394
"(8, 8, 8, 8, 8)",5,8,371,0.1133974939584732,356
"(16, 16)",2,16,435,0.0535610318183898,399
"(64,)",1,64,643,0.0347477421164512,400
"(16, 16, 16)",3,16,707,0.0564953498542308,393
"(16, 16, 16, 16)",4,16,979,0.0702465996146202,398
"(16, 16, 16, 16, 16)",5,16,1251,0.0647377595305442,397
"(128,)",1,128,1283,0.0347574613988399,398
"(32, 32)",2,32,1379,0.0455924607813358,391
"(32, 32, 32)",3,32,2435,0.0550358220934867,360
"(256,)",1,256,2563,0.0376425459980964,397
"(32, 32, 32, 32)",4,32,3491,0.0604248642921447,306
"(32, 32, 32, 32, 32)",5,32,4547,0.0610462129116058,377
"(64, 64)",2,64,4803,0.0409891121089458,376
"(512,)",1,512,5123,0.031560692936182,397
"(64, 64, 64)",3,64,8963,0.0424694120883941,360
"(1024,)",1,1024,10243,0.0304381661117076,393
"(64, 64, 64, 64)",4,64,13123,0.0463066548109054,399
"(64, 64, 64, 64, 64)",5,64,17283,0.0487009957432746,398
"(128, 128)",2,128,17795,0.0373088531196117,396
"(2048,)",1,2048,20483,0.0309688281267881,392
"(128, 128, 128)",3,128,34307,0.0413878671824932,400
"(4096,)",1,4096,40963,0.0326026640832424,400
"(5000,)",1,5000,50003,0.0323410481214523,399
"(128, 128, 128, 128)",4,128,50819,0.044885329902172,385
"(6000,)",1,6000,60003,0.0325524508953094,400
"(128, 128, 128, 128, 128)",5,128,67331,0.0492454022169113,391
"(256, 256)",2,256,68355,0.038067553192377,395
"(7000,)",1,7000,70003,0.0319867394864559,393
"(8000,)",1,8000,80003,0.0335762090981006,392
"(9000,)",1,9000,90003,0.0331389270722866,396
"(10000,)",1,10000,100003,0.03328881040215492,398
"(256, 256, 256)",3,256,134147,0.04168601334095,397
"(256, 256, 256, 256)",4,256,199939,0.0443081930279731,394
"(256, 256, 256, 256, 256)",5,256,265731,0.0482337847352027,397
"(512, 512)",2,512,267779,0.041040264070034,399
"(512, 512, 512)",3,512,530435,0.0435314774513244,400
"(512, 512, 512, 512)",4,512,793091,0.0455597750842571,393
"(100000,)",1,100000,1000003,0.02394869551062584,397
"(512, 512, 512, 512, 512)",5,512,1055747,0.0467049032449722,388
"(1024, 1024)",2,1024,1059843,0.0444020703434944,398
"(1024, 1024, 1024)",3,1024,2109443,0.0410784147679805,399
"(1024, 1024, 1024, 1024)",4,1024,3159043,0.0448118969798088,398
"(1024, 1024, 1024, 1024, 1024)",5,1024,4208643,0.0475813411176204,377
"(2048, 2048)",2,2048,4216835,0.0436767190694808,399
"(2048, 2048, 2048)",3,2048,8413187,0.0443510040640831,399
"(1000000,)",1,1000000,10000003,0.020428061485290527,383
"(2048, 2048, 2048, 2048)",4,2048,12609539,0.0440544448792934,399
"(2048, 2048, 2048, 2048, 2048)",5,2048,16805891,0.0467392615973949,388
"(4096, 4096)",2,4096,16822275,0.0428895428776741,393
"(5000, 5000)",2,5000,25055003,0.0440541170537471,399
"(4096, 4096, 4096)",3,4096,33603587,0.0415791422128677,396
"(6000, 6000)",2,6000,36066003,0.0417088754475116,396
"(7000, 7000)",2,7000,49077003,0.0432610027492046,393
"(5000, 5000, 5000)",3,5000,50060003,0.0398433431982994,398
"(4096, 4096, 4096, 4096)",4,4096,50384899,0.0431969724595546,381
"(8000, 8000)",2,8000,64088003,0.0443690344691276,400
"(4096, 4096, 4096, 4096, 4096)",5,4096,67166211,0.0482299737632274,396
"(6000, 6000, 6000)",3,6000,72072003,0.0396124422550201,400
"(5000, 5000, 5000, 5000)",4,5000,75065003,0.0431909076869487,394
"(9000, 9000)",2,9000,81099003,0.0437477491796016,393
"(7000, 7000, 7000)",3,7000,98084003,0.0400479771196842,398
"(5000, 5000, 5000, 5000, 5000)",5,5000,100070003,0.0533440262079238,400
"(6000, 6000, 6000, 6000)",4,6000,108078003,0.0450076200067997,390
"(8000, 8000, 8000)",3,8000,128096003,0.0416939593851566,398
"(6000, 6000, 6000, 6000, 6000)",5,6000,144084003,0.0602666586637496,397
"(7000, 7000, 7000, 7000)",4,7000,147091003,0.0469420403242111,396
"(9000, 9000, 9000)",3,9000,162108003,0.0410904362797737,385
"(8000, 8000, 8000, 8000)",4,8000,192104003,0.0643266290426254,398
"(7000, 7000, 7000, 7000, 7000)",5,7000,196098003,0.0870480462908744,393
"(9000, 9000, 9000, 9000)",4,9000,243117003,0.0614994317293167,395
"(8000, 8000, 8000, 8000, 8000)",5,8000,256112003,0.1725867986679077,400
"(9000, 9000, 9000, 9000, 9000)",5,9000,324126003,0.3168695867061615,400
