train_frac,train_n,seed,neurons_per_layer,total_params,best_val_loss,best_epoch
0.3,405,0,"[64, 64, 64, 64, 64]",17283,0.015180430375039577,344
0.3,405,1,"[64, 64, 64, 64, 64]",17283,0.014192270115017891,356
0.3,405,2,"[64, 64, 64, 64, 64]",17283,0.01527081523090601,387
0.3,405,3,"[64, 64, 64, 64, 64]",17283,0.013434065505862236,340
0.3,405,4,"[64, 64, 64, 64, 64]",17283,0.012746913358569145,313
0.3368421052631579,455,0,"[64, 64, 64, 64, 64]",17283,0.010815517045557499,366
0.3368421052631579,455,1,"[64, 64, 64, 64, 64]",17283,0.011276403442025185,397
0.3368421052631579,455,2,"[64, 64, 64, 64, 64]",17283,0.012104774825274944,387
0.3368421052631579,455,3,"[64, 64, 64, 64, 64]",17283,0.012463375926017761,361
0.3368421052631579,455,4,"[64, 64, 64, 64, 64]",17283,0.012498840689659119,365
0.3736842105263158,505,0,"[64, 64, 64, 64, 64]",17283,0.011579529382288456,387
0.3736842105263158,505,1,"[64, 64, 64, 64, 64]",17283,0.010540011338889599,384
0.3736842105263158,505,2,"[64, 64, 64, 64, 64]",17283,0.011671378277242184,398
0.3736842105263158,505,3,"[64, 64, 64, 64, 64]",17283,0.012065944261848927,384
0.3736842105263158,505,4,"[64, 64, 64, 64, 64]",17283,0.011660631746053696,351
0.41052631578947363,555,0,"[64, 64, 64, 64, 64]",17283,0.01120381522923708,376
0.41052631578947363,555,1,"[64, 64, 64, 64, 64]",17283,0.012039447203278542,369
0.41052631578947363,555,2,"[64, 64, 64, 64, 64]",17283,0.011419438757002354,381
0.41052631578947363,555,3,"[64, 64, 64, 64, 64]",17283,0.011769942007958889,395
0.41052631578947363,555,4,"[64, 64, 64, 64, 64]",17283,0.011249353177845478,384
0.4473684210526315,605,0,"[64, 64, 64, 64, 64]",17283,0.009912065230309963,389
0.4473684210526315,605,1,"[64, 64, 64, 64, 64]",17283,0.011292080394923687,380
0.4473684210526315,605,2,"[64, 64, 64, 64, 64]",17283,0.009784660302102566,400
0.4473684210526315,605,3,"[64, 64, 64, 64, 64]",17283,0.011115554720163345,393
0.4473684210526315,605,4,"[64, 64, 64, 64, 64]",17283,0.010434888303279877,360
0.4842105263157894,655,0,"[64, 64, 64, 64, 64]",17283,0.011724897660315037,394
0.4842105263157894,655,1,"[64, 64, 64, 64, 64]",17283,0.011772526428103447,326
0.4842105263157894,655,2,"[64, 64, 64, 64, 64]",17283,0.013681546784937382,373
